fasta order,tip_labels,tip_labels_xx,processid,species,species_name_tidy,species_name_barcode_gap,Locality,Source_type,Genus,family,order,sampleid,bin_uri,genus_name,species_name,country,region,tip_labels_previous,new_names_public,new_names_NZ,new_labels
1,AGROT404_10|Lecane_bulla_AEG10|COI_5P|JX216664,AGROT404-10|Lecane-bulla_AEG10|COI-5P|JX216664,AGROT404-10,Lecane-bulla AEG10,Lecane bulla,Lecane bulla,Mexico,Public,Lecane,Lecanidae,Ploima,ECOCHZ-AG0404,BOLD:ABA0370,Lecane,Lecane bulla AEG10,Mexico,Catemaco,AGROT404-10_Lecane-bulla_AEG10_COI-5P_JX216664,Lecane-bulla AEG10 (ECOCHZ-AG0404)(AGROT404-10)(Mexico),Lecane-bulla AEG10 (AGROT404-10)(Mexico),Lecane-bulla AEG10 (ECOCHZ-AG0404)(AGROT404-10)(Mexico)
2,AGROT412_10|Lecane_bulla2|COI_5P|JX216651,AGROT412-10|Lecane-bulla2|COI-5P|JX216651,AGROT412-10,Lecane-bulla2,Lecane bulla2,Lecane bulla,Mexico,Public,Lecane,Lecanidae,Ploima,ECOCHZ-AG0412,BOLD:AAP1004,Lecane,Lecane bulla2,Mexico,Angel R. Cabada,AGROT412-10_Lecane-bulla2_COI-5P_JX216651,Lecane-bulla2 (ECOCHZ-AG0412)(AGROT412-10)(Mexico),Lecane-bulla2 (AGROT412-10)(Mexico),Lecane-bulla2 (ECOCHZ-AG0412)(AGROT412-10)(Mexico)
3,AGROT486_11|Lecane_closterocerca|COI_5P|JX216672,AGROT486-11|Lecane-closterocerca|COI-5P|JX216672,AGROT486-11,Lecane-closterocerca,Lecane closterocerca,Lecane closterocerca,Mexico,Public,Lecane,Lecanidae,Ploima,ECOCHZ-AG0495,BOLD:AAU2753,Lecane,Lecane closterocerca,Mexico,Escarcega,AGROT486-11_Lecane-closterocerca_COI-5P_JX216672,Lecane-closterocerca (ECOCHZ-AG0495)(AGROT486-11)(Mexico),Lecane-closterocerca (AGROT486-11)(Mexico),Lecane-closterocerca (ECOCHZ-AG0495)(AGROT486-11)(Mexico)
4,AGROT491_11|Lecane_lunaris|COI_5P|JX216723,AGROT491-11|Lecane-lunaris|COI-5P|JX216723,AGROT491-11,Lecane-lunaris,Lecane lunaris,Lecane lunaris,Mexico,Public,Lecane,Lecanidae,Ploima,ECOCHZ-AG0500,BOLD:AAU1344,Lecane,Lecane lunaris,Mexico,Escarcega,AGROT491-11_Lecane-lunaris_COI-5P_JX216723,Lecane-lunaris (ECOCHZ-AG0500)(AGROT491-11)(Mexico),Lecane-lunaris (AGROT491-11)(Mexico),Lecane-lunaris (ECOCHZ-AG0500)(AGROT491-11)(Mexico)
5,AGROT512_11|Platyias_quadricornis|COI_5P|JX216800,AGROT512-11|Platyias-quadricornis|COI-5P|JX216800,AGROT512-11,Platyias-quadricornis,Platyias quadricornis,Platyias quadricornis,Mexico,Public,Platyias,Brachionidae,Ploima,ECOCHZ-AG0521,BOLD:AAN2887,Platyias,Platyias quadricornis,Mexico,Catemaco,AGROT512-11_Platyias-quadricornis_COI-5P_JX216800,Platyias-quadricornis (ECOCHZ-AG0521)(AGROT512-11)(Mexico),Platyias-quadricornis (AGROT512-11)(Mexico),Platyias-quadricornis (ECOCHZ-AG0521)(AGROT512-11)(Mexico)
6,AGROT516_11|Brachionus_angularis|COI_5P|JX216504,AGROT516-11|Brachionus-angularis|COI-5P|JX216504,AGROT516-11,Brachionus-angularis,Brachionus angularis,Brachionus angularis,Mexico,Public,Brachionus,Brachionidae,Ploima,ECOCHZ-AG0525,BOLD:AAP1061,Brachionus,Brachionus angularis,Mexico,Catemaco,AGROT516-11_Brachionus-angularis_COI-5P_JX216504,Brachionus-angularis (ECOCHZ-AG0525)(AGROT516-11)(Mexico),Brachionus-angularis (AGROT516-11)(Mexico),Brachionus-angularis (ECOCHZ-AG0525)(AGROT516-11)(Mexico)
7,AGROT517_11|Lecane_bulla3|COI_5P|JX216653,AGROT517-11|Lecane-bulla3|COI-5P|JX216653,AGROT517-11,Lecane-bulla3,Lecane bulla3,Lecane bulla,Mexico,Public,Lecane,Lecanidae,Ploima,ECOCHZ-AG0526,BOLD:AAP1003,Lecane,Lecane bulla3,Mexico,Catemaco,AGROT517-11_Lecane-bulla3_COI-5P_JX216653,Lecane-bulla3 (ECOCHZ-AG0526)(AGROT517-11)(Mexico),Lecane-bulla3 (AGROT517-11)(Mexico),Lecane-bulla3 (ECOCHZ-AG0526)(AGROT517-11)(Mexico)
8,AGROT524_11|Keratella_tropica|COI_5P|JX216641,AGROT524-11|Keratella-tropica|COI-5P|JX216641,AGROT524-11,Keratella-tropica,Keratella tropica,Keratella tropica,Mexico,Public,Keratella,Brachionidae,Ploima,ECOCHZ-AG0533,BOLD:AAU3068,Keratella,Keratella tropica,Mexico,Othon P. Blanco,AGROT524-11_Keratella-tropica_COI-5P_JX216641,Keratella-tropica (ECOCHZ-AG0533)(AGROT524-11)(Mexico),Keratella-tropica (AGROT524-11)(Mexico),Keratella-tropica (ECOCHZ-AG0533)(AGROT524-11)(Mexico)
9,AGROT551_11|Lecane_bulla4|COI_5P|JX216658,AGROT551-11|Lecane-bulla4|COI-5P|JX216658,AGROT551-11,Lecane-bulla4,Lecane bulla4,Lecane bulla,Mexico,Public,Lecane,Lecanidae,Ploima,ECOCHZ-AG0556,BOLD:AAN2893,Lecane,Lecane bulla4,Mexico,Candelaria,AGROT551-11_Lecane-bulla4_COI-5P_JX216658,Lecane-bulla4 (ECOCHZ-AG0556)(AGROT551-11)(Mexico),Lecane-bulla4 (AGROT551-11)(Mexico),Lecane-bulla4 (ECOCHZ-AG0556)(AGROT551-11)(Mexico)
10,AGROT606_11|Brachionus_calyciflorus|COI_5P|JX216516,AGROT606-11|Brachionus-calyciflorus|COI-5P|JX216516,AGROT606-11,Brachionus-calyciflorus,Brachionus calyciflorus,Brachionus calyciflorus,Mexico,Public,Brachionus,Brachionidae,Ploima,ECOCHZ-AG0608,BOLD:ABA0300,Brachionus,Brachionus calyciflorus,Mexico,Jilotzingo,AGROT606-11_Brachionus-calyciflorus_COI-5P_JX216516,Brachionus-calyciflorus (ECOCHZ-AG0608)(AGROT606-11)(Mexico),Brachionus-calyciflorus (AGROT606-11)(Mexico),Brachionus-calyciflorus (ECOCHZ-AG0608)(AGROT606-11)(Mexico)
