fasta order,tip_labels,tip_labels_alt1,tip_labels_alt2,processid,detailed_species,species,info_group,info_group_species,BIN,region_NZ,Locality,Source_type,Genus,family,order,sampleid,GMYC_spec,country,region_public,,,,new_labels,,,,,,,,new_labels_subsets
1,AGROT404_10|Lecane_bulla_AEG10|COI_5P|JX216664,AGROT404-10|Lecane-bulla_AEG10|COI-5P|JX216664,AGROT404-10_Lecane-bulla_AEG10_COI-5P_JX216664,AGROT404-10,Lecane-bulla AEG10,Lecane bulla,aaPublic,aaPublic,BOLD:ABA0370,,Mexico,Public,Lecane,Lecanidae,Ploima,ECOCHZ-AG0404,GMYC:128,Mexico,Catemaco,italic(`,`)~(`,`),italic(`Lecane bulla`)~(`BOLD:ABA0370`)~(`GMYC:128`)~(`Mexico`),(`,BOLD:ABA0370,`)~(`,GMYC:128,`)~(`,Mexico,`),(`BOLD:ABA0370`)~(`GMYC:128`)~(`Mexico`)
2,AGROT412_10|Lecane_bulla2|COI_5P|JX216651,AGROT412-10|Lecane-bulla2|COI-5P|JX216651,AGROT412-10_Lecane-bulla2_COI-5P_JX216651,AGROT412-10,Lecane-bulla2,Lecane bulla,aaPublic,aaPublic,BOLD:AAP1004,,Mexico,Public,Lecane,Lecanidae,Ploima,ECOCHZ-AG0412,GMYC:123,Mexico,Angel R. Cabada,italic(`,`)~(`,`),italic(`Lecane bulla`)~(`BOLD:AAP1004`)~(`GMYC:123`)~(`Mexico`),(`,BOLD:AAP1004,`)~(`,GMYC:123,`)~(`,Mexico,`),(`BOLD:AAP1004`)~(`GMYC:123`)~(`Mexico`)
3,AGROT486_11|Lecane_closterocerca|COI_5P|JX216672,AGROT486-11|Lecane-closterocerca|COI-5P|JX216672,AGROT486-11_Lecane-closterocerca_COI-5P_JX216672,AGROT486-11,Lecane-closterocerca,Lecane closterocerca,aaPublic,aaPublic,BOLD:AAU2753,,Mexico,Public,Lecane,Lecanidae,Ploima,ECOCHZ-AG0495,GMYC:140,Mexico,Escarcega,italic(`,`)~(`,`),italic(`Lecane closterocerca`)~(`BOLD:AAU2753`)~(`GMYC:140`)~(`Mexico`),(`,BOLD:AAU2753,`)~(`,GMYC:140,`)~(`,Mexico,`),(`BOLD:AAU2753`)~(`GMYC:140`)~(`Mexico`)
4,AGROT491_11|Lecane_lunaris|COI_5P|JX216723,AGROT491-11|Lecane-lunaris|COI-5P|JX216723,AGROT491-11_Lecane-lunaris_COI-5P_JX216723,AGROT491-11,Lecane-lunaris,Lecane lunaris,aaPublic,aaPublic,BOLD:AAU1344,,Mexico,Public,Lecane,Lecanidae,Ploima,ECOCHZ-AG0500,GMYC:105,Mexico,Escarcega,italic(`,`)~(`,`),italic(`Lecane lunaris`)~(`BOLD:AAU1344`)~(`GMYC:105`)~(`Mexico`),(`,BOLD:AAU1344,`)~(`,GMYC:105,`)~(`,Mexico,`),(`BOLD:AAU1344`)~(`GMYC:105`)~(`Mexico`)
5,AGROT512_11|Platyias_quadricornis|COI_5P|JX216800,AGROT512-11|Platyias-quadricornis|COI-5P|JX216800,AGROT512-11_Platyias-quadricornis_COI-5P_JX216800,AGROT512-11,Platyias-quadricornis,Platyias quadricornis,aaPublic,aaPublic,BOLD:AAN2887,,Mexico,Public,Platyias,Brachionidae,Ploima,ECOCHZ-AG0521,GMYC:85,Mexico,Catemaco,italic(`,`)~(`,`),italic(`Platyias quadricornis`)~(`BOLD:AAN2887`)~(`GMYC:85`)~(`Mexico`),(`,BOLD:AAN2887,`)~(`,GMYC:85,`)~(`,Mexico,`),(`BOLD:AAN2887`)~(`GMYC:85`)~(`Mexico`)
6,AGROT516_11|Brachionus_angularis|COI_5P|JX216504,AGROT516-11|Brachionus-angularis|COI-5P|JX216504,AGROT516-11_Brachionus-angularis_COI-5P_JX216504,AGROT516-11,Brachionus-angularis,Brachionus angularis,aaPublic,aaPublic,BOLD:AAP1061,,Mexico,Public,Brachionus,Brachionidae,Ploima,ECOCHZ-AG0525,GMYC:93,Mexico,Catemaco,italic(`,`)~(`,`),italic(`Brachionus angularis`)~(`BOLD:AAP1061`)~(`GMYC:93`)~(`Mexico`),(`,BOLD:AAP1061,`)~(`,GMYC:93,`)~(`,Mexico,`),(`BOLD:AAP1061`)~(`GMYC:93`)~(`Mexico`)
7,AGROT517_11|Lecane_bulla3|COI_5P|JX216653,AGROT517-11|Lecane-bulla3|COI-5P|JX216653,AGROT517-11_Lecane-bulla3_COI-5P_JX216653,AGROT517-11,Lecane-bulla3,Lecane bulla,aaPublic,aaPublic,BOLD:AAP1003,,Mexico,Public,Lecane,Lecanidae,Ploima,ECOCHZ-AG0526,GMYC:121,Mexico,Catemaco,italic(`,`)~(`,`),italic(`Lecane bulla`)~(`BOLD:AAP1003`)~(`GMYC:121`)~(`Mexico`),(`,BOLD:AAP1003,`)~(`,GMYC:121,`)~(`,Mexico,`),(`BOLD:AAP1003`)~(`GMYC:121`)~(`Mexico`)
8,AGROT524_11|Keratella_tropica|COI_5P|JX216641,AGROT524-11|Keratella-tropica|COI-5P|JX216641,AGROT524-11_Keratella-tropica_COI-5P_JX216641,AGROT524-11,Keratella-tropica,Keratella tropica,aaPublic,aaPublic,BOLD:AAU3068,,Mexico,Public,Keratella,Brachionidae,Ploima,ECOCHZ-AG0533,GMYC:117,Mexico,Othon P. Blanco,italic(`,`)~(`,`),italic(`Keratella tropica`)~(`BOLD:AAU3068`)~(`GMYC:117`)~(`Mexico`),(`,BOLD:AAU3068,`)~(`,GMYC:117,`)~(`,Mexico,`),(`BOLD:AAU3068`)~(`GMYC:117`)~(`Mexico`)
9,AGROT551_11|Lecane_bulla4|COI_5P|JX216658,AGROT551-11|Lecane-bulla4|COI-5P|JX216658,AGROT551-11_Lecane-bulla4_COI-5P_JX216658,AGROT551-11,Lecane-bulla4,Lecane bulla,aaPublic,aaPublic,BOLD:AAN2893,,Mexico,Public,Lecane,Lecanidae,Ploima,ECOCHZ-AG0556,GMYC:122,Mexico,Candelaria,italic(`,`)~(`,`),italic(`Lecane bulla`)~(`BOLD:AAN2893`)~(`GMYC:122`)~(`Mexico`),(`,BOLD:AAN2893,`)~(`,GMYC:122,`)~(`,Mexico,`),(`BOLD:AAN2893`)~(`GMYC:122`)~(`Mexico`)
10,AGROT606_11|Brachionus_calyciflorus|COI_5P|JX216516,AGROT606-11|Brachionus-calyciflorus|COI-5P|JX216516,AGROT606-11_Brachionus-calyciflorus_COI-5P_JX216516,AGROT606-11,Brachionus-calyciflorus,Brachionus calyciflorus,aaPublic,aaPublic,BOLD:ABA0300,,Mexico,Public,Brachionus,Brachionidae,Ploima,ECOCHZ-AG0608,GMYC:88,Mexico,Jilotzingo,italic(`,`)~(`,`),italic(`Brachionus calyciflorus`)~(`BOLD:ABA0300`)~(`GMYC:88`)~(`Mexico`),(`,BOLD:ABA0300,`)~(`,GMYC:88,`)~(`,Mexico,`),(`BOLD:ABA0300`)~(`GMYC:88`)~(`Mexico`)
11,AGROT621_11|Trichocerca_cf._capucina|COI_5P|JX216815,AGROT621-11|Trichocerca-cf._capucina|COI-5P|JX216815,AGROT621-11_Trichocerca-cf._capucina_COI-5P_JX216815,AGROT621-11,Trichocerca-cf. capucina,Trichocerca cf. capucina,aaPublic,aaPublic,BOLD:ABA3361,,Mexico,Public,Trichocerca,Trichocercidae,Ploima,ECOCHZ-AG0623,GMYC:139,Mexico,Jilotzingo,italic(`,`)~(`,`),italic(`Trichocerca cf. capucina`)~(`BOLD:ABA3361`)~(`GMYC:139`)~(`Mexico`),(`,BOLD:ABA3361,`)~(`,GMYC:139,`)~(`,Mexico,`),(`BOLD:ABA3361`)~(`GMYC:139`)~(`Mexico`)
12,AGROT712_11|Lecane_ludwigii_f._ohioensis|COI_5P|JX216710,AGROT712-11|Lecane-ludwigii_f._ohioensis|COI-5P|JX216710,AGROT712-11_Lecane-ludwigii_f._ohioensis_COI-5P_JX216710,AGROT712-11,Lecane-ludwigii f. ohioensis,Lecane ludwigii f. ohioensis,aaPublic,aaPublic,BOLD:AAN3260,,Mexico,Public,Lecane,Lecanidae,Ploima,ECOCHZ-AG0714,GMYC:73,Mexico,Palizada,italic(`,`)~(`,`),italic(`Lecane ludwigii f. ohioensis`)~(`BOLD:AAN3260`)~(`GMYC:73`)~(`Mexico`),(`,BOLD:AAN3260,`)~(`,GMYC:73,`)~(`,Mexico,`),(`BOLD:AAN3260`)~(`GMYC:73`)~(`Mexico`)
13,AGROT751_11|Lecane_bulla1|COI_5P|JX216646,AGROT751-11|Lecane-bulla1|COI-5P|JX216646,AGROT751-11_Lecane-bulla1_COI-5P_JX216646,AGROT751-11,Lecane-bulla1,Lecane bulla,aaPublic,aaPublic,BOLD:AAN2894,,Mexico,Public,Lecane,Lecanidae,Ploima,ECOCHZ-AG0753,GMYC:118,Mexico,Escarcega,italic(`,`)~(`,`),italic(`Lecane bulla`)~(`BOLD:AAN2894`)~(`GMYC:118`)~(`Mexico`),(`,BOLD:AAN2894,`)~(`,GMYC:118,`)~(`,Mexico,`),(`BOLD:AAN2894`)~(`GMYC:118`)~(`Mexico`)
14,AGROT766_11|Lepadella_cf._ovalis|COI_5P|JX216761,AGROT766-11|Lepadella-cf._ovalis|COI-5P|JX216761,AGROT766-11_Lepadella-cf._ovalis_COI-5P_JX216761,AGROT766-11,Lepadella-cf. ovalis,Lepadella cf. ovalis,aaPublic,aaPublic,BOLD:AAZ9992,,Mexico,Public,Lepadella,Lepadellidae,Ploima,ECOCHZ-AG0768,GMYC:98,Mexico,Ocosingo,italic(`,`)~(`,`),italic(`Lepadella cf. ovalis`)~(`BOLD:AAZ9992`)~(`GMYC:98`)~(`Mexico`),(`,BOLD:AAZ9992,`)~(`,GMYC:98,`)~(`,Mexico,`),(`BOLD:AAZ9992`)~(`GMYC:98`)~(`Mexico`)
15,AGROT837_11|Trichocerca_stylata|COI_5P|JX216825,AGROT837-11|Trichocerca-stylata|COI-5P|JX216825,AGROT837-11_Trichocerca-stylata_COI-5P_JX216825,AGROT837-11,Trichocerca-stylata,Trichocerca stylata,aaPublic,aaPublic,BOLD:ABA0504,,Mexico,Public,Trichocerca,Trichocercidae,Ploima,ECOCHZ-AG0839,GMYC:82,Mexico,Othon P. Blanco,italic(`,`)~(`,`),italic(`Trichocerca stylata`)~(`BOLD:ABA0504`)~(`GMYC:82`)~(`Mexico`),(`,BOLD:ABA0504,`)~(`,GMYC:82,`)~(`,Mexico,`),(`BOLD:ABA0504`)~(`GMYC:82`)~(`Mexico`)
16,AGROT844_11|Lecane_bulla5|COI_5P|JX216662,AGROT844-11|Lecane-bulla5|COI-5P|JX216662,AGROT844-11_Lecane-bulla5_COI-5P_JX216662,AGROT844-11,Lecane-bulla5,Lecane bulla,aaPublic,aaPublic,BOLD:AAX0098,,Mexico,Public,Lecane,Lecanidae,Ploima,ECOCHZ-AG0846,GMYC:126,Mexico,Othon P. Blanco,italic(`,`)~(`,`),italic(`Lecane bulla`)~(`BOLD:AAX0098`)~(`GMYC:126`)~(`Mexico`),(`,BOLD:AAX0098,`)~(`,GMYC:126,`)~(`,Mexico,`),(`BOLD:AAX0098`)~(`GMYC:126`)~(`Mexico`)
